"satis","country","age","age2"
5,"China",49,2401
5,"China",42,1764
6,"China",51,2601
3,"China",40,1600
5,"China",45,2025
5,"China",37,1369
6,"China",49,2401
6,"China",52,2704
5,"China",40,1600
3,"China",46,2116
6,"China",43,1849
5,"China",43,1849
8,"China",59,3481
7,"China",32,1024
7,"China",30,900
5,"China",48,2304
3,"China",46,2116
6,"China",59,3481
6,"China",42,1764
5,"China",44,1936
7,"China",45,2025
5,"China",57,3249
2,"China",45,2025
4,"China",44,1936
6,"China",40,1600
6,"China",58,3364
7,"China",46,2116
7,"China",49,2401
8,"China",43,1849
3,"China",57,3249
1,"China",45,2025
2,"China",59,3481
1,"China",50,2500
5,"China",47,2209
6,"China",45,2025
9,"China",46,2116
5,"China",46,2116
8,"China",48,2304
8,"China",24,576
8,"China",41,1681
8,"China",25,625
5,"China",22,484
7,"China",46,2116
5,"China",50,2500
7,"China",25,625
5,"China",48,2304
5,"China",47,2209
0,"China",50,2500
7,"China",58,3364
5,"China",53,2809
7,"China",32,1024
7,"China",31,961
1,"China",45,2025
8,"China",40,1600
8,"China",35,1225
8,"China",59,3481
8,"China",24,576
8,"China",58,3364
7,"China",52,2704
6,"China",46,2116
8,"China",45,2025
5,"China",42,1764
5,"China",42,1764
5,"China",45,2025
5,"China",53,2809
5,"China",48,2304
4,"China",22,484
5,"China",57,3249
5,"China",27,729
5,"China",33,1089
2,"China",54,2916
1,"China",41,1681
5,"China",50,2500
5,"China",48,2304
7,"China",34,1156
6,"China",47,2209
7,"China",57,3249
5,"China",50,2500
6,"China",58,3364
6,"China",49,2401
8,"China",52,2704
6,"China",40,1600
3,"China",44,1936
6,"China",48,2304
5,"China",46,2116
7,"China",29,841
5,"China",54,2916
6,"China",39,1521
4,"China",29,841
6,"China",54,2916
6,"China",28,784
7,"China",46,2116
4,"China",54,2916
6,"China",49,2401
5,"China",53,2809
5,"China",55,3025
5,"China",39,1521
1,"China",41,1681
6,"China",22,484
5,"China",33,1089
3,"China",51,2601
0,"China",42,1764
4,"China",39,1521
6,"China",25,625
6,"China",28,784
5,"China",56,3136
5,"China",35,1225
2,"China",45,2025
8,"China",29,841
5,"China",39,1521
5,"China",54,2916
5,"China",24,576
5,"China",34,1156
2,"China",30,900
6,"China",21,441
6,"China",48,2304
3,"China",28,784
6,"China",30,900
6,"China",46,2116
7,"China",43,1849
6,"China",49,2401
5,"China",43,1849
6,"China",49,2401
7,"China",54,2916
6,"China",59,3481
7,"China",44,1936
8,"China",22,484
4,"China",43,1849
6,"China",56,3136
8,"China",55,3025
5,"China",46,2116
4,"China",49,2401
1,"China",25,625
8,"China",24,576
7,"China",56,3136
8,"China",53,2809
4,"China",33,1089
5,"China",30,900
3,"China",54,2916
5,"China",29,841
8,"China",58,3364
6,"China",36,1296
5,"China",39,1521
6,"China",52,2704
4,"China",39,1521
6,"China",30,900
6,"China",52,2704
0,"China",54,2916
4,"China",25,625
5,"China",59,3481
4,"China",25,625
5,"China",29,841
6,"China",31,961
7,"China",45,2025
7,"China",49,2401
6,"China",47,2209
2,"China",49,2401
6,"China",40,1600
5,"China",38,1444
6,"China",40,1600
8,"China",46,2116
3,"China",46,2116
6,"China",42,1764
6,"China",24,576
3,"China",46,2116
8,"China",45,2025
4,"China",48,2304
5,"China",40,1600
5,"China",34,1156
5,"China",50,2500
5,"China",47,2209
5,"China",41,1681
7,"China",56,3136
5,"China",48,2304
5,"China",52,2704
5,"China",56,3136
7,"China",21,441
8,"China",36,1296
9,"China",49,2401
5,"China",48,2304
5,"China",44,1936
5,"China",40,1600
4,"China",54,2916
2,"China",44,1936
2,"China",57,3249
5,"China",43,1849
8,"China",36,1296
6,"China",28,784
5,"China",50,2500
5,"China",46,2116
5,"China",41,1681
3,"China",50,2500
6,"China",30,900
6,"China",43,1849
6,"China",51,2601
5,"China",50,2500
8,"China",25,625
8,"China",37,1369
3,"China",42,1764
5,"China",57,3249
5,"China",23,529
5,"China",57,3249
8,"China",49,2401
8,"China",32,1024
8,"China",43,1849
4,"China",39,1521
8,"China",44,1936
3,"China",55,3025
3,"China",44,1936
5,"China",51,2601
7,"China",44,1936
2,"China",46,2116
3,"China",53,2809
6,"China",23,529
6,"China",48,2304
5,"China",53,2809
6,"China",38,1444
5,"China",37,1369
5,"China",50,2500
0,"China",43,1849
4,"China",46,2116
5,"China",37,1369
5,"China",46,2116
8,"China",38,1444
2,"China",48,2304
3,"China",52,2704
5,"China",34,1156
5,"China",50,2500
1,"China",38,1444
3,"China",45,2025
5,"China",57,3249
5,"China",50,2500
5,"China",31,961
0,"China",48,2304
6,"China",27,729
5,"China",59,3481
7,"China",55,3025
7,"China",59,3481
8,"China",40,1600
0,"China",39,1521
6,"China",39,1521
1,"China",55,3025
3,"China",51,2601
8,"China",33,1089
10,"China",46,2116
1,"China",50,2500
8,"China",59,3481
8,"China",53,2809
5,"China",28,784
5,"China",23,529
5,"China",49,2401
5,"China",39,1521
6,"China",46,2116
0,"China",44,1936
7,"China",25,625
3,"China",42,1764
6,"China",37,1369
7,"China",53,2809
8,"China",21,441
6,"China",48,2304
4,"China",46,2116
4,"China",59,3481
8,"China",56,3136
3,"China",43,1849
5,"China",42,1764
6,"China",50,2500
1,"China",50,2500
5,"China",55,3025
5,"China",46,2116
5,"China",30,900
2,"China",48,2304
4,"China",48,2304
7,"China",52,2704
5,"China",46,2116
5,"China",49,2401
6,"China",31,961
8,"China",27,729
7,"China",39,1521
6,"China",30,900
7,"China",37,1369
3,"China",49,2401
7,"China",60,3600
6,"China",33,1089
6,"China",45,2025
6,"China",39,1521
4,"China",22,484
6,"China",60,3600
8,"China",35,1225
5,"China",45,2025
6,"China",50,2500
3,"China",59,3481
5,"China",47,2209
6,"China",40,1600
6,"China",59,3481
5,"China",53,2809
8,"China",47,2209
8,"China",44,1936
5,"China",24,576
5,"China",50,2500
5,"China",50,2500
5,"China",53,2809
8,"China",24,576
5,"China",26,676
8,"China",33,1089
3,"China",52,2704
6,"China",27,729
5,"China",34,1156
5,"China",48,2304
1,"China",38,1444
3,"China",53,2809
0,"China",42,1764
5,"China",59,3481
5,"China",45,2025
5,"China",26,676
5,"China",56,3136
5,"China",25,625
8,"China",28,784
6,"China",40,1600
5,"China",39,1521
6,"China",24,576
5,"China",55,3025
3,"China",38,1444
0,"China",42,1764
5,"China",41,1681
5,"China",45,2025
4,"China",56,3136
5,"China",53,2809
1,"China",55,3025
5,"China",57,3249
3,"China",32,1024
8,"China",38,1444
5,"China",26,676
3,"China",46,2116
7,"China",22,484
8,"China",33,1089
4,"China",23,529
5,"China",53,2809
5,"China",27,729
6,"China",28,784
1,"China",34,1156
2,"China",30,900
7,"China",27,729
4,"China",45,2025
3,"China",34,1156
6,"China",23,529
4,"China",50,2500
5,"China",28,784
4,"China",50,2500
3,"China",58,3364
6,"China",24,576
6,"China",58,3364
4,"China",38,1444
4,"China",55,3025
7,"China",30,900
3,"China",52,2704
3,"China",59,3481
2,"China",43,1849
3,"China",52,2704
4,"China",53,2809
5,"China",25,625
4,"China",37,1369
6,"China",53,2809
5,"China",59,3481
2,"China",55,3025
5,"China",48,2304
3,"China",55,3025
2,"China",48,2304
3,"China",42,1764
2,"China",45,2025
6,"China",58,3364
5,"China",50,2500
8,"China",50,2500
6,"China",45,2025
8,"China",56,3136
6,"China",50,2500
3,"China",60,3600
6,"China",49,2401
0,"China",52,2704
5,"China",28,784
4,"China",53,2809
7,"China",25,625
5,"China",50,2500
4,"China",45,2025
5,"China",59,3481
7,"China",31,961
6,"China",37,1369
5,"China",23,529
6,"China",57,3249
8,"China",58,3364
4,"China",37,1369
6,"China",50,2500
9,"China",59,3481
5,"China",46,2116
6,"China",47,2209
5,"China",24,576
5,"China",28,784
5,"China",38,1444
5,"China",33,1089
7,"China",28,784
6,"China",29,841
5,"China",29,841
4,"China",49,2401
5,"China",32,1024
5,"China",24,576
4,"China",57,3249
5,"China",55,3025
5,"China",40,1600
4,"China",51,2601
6,"China",47,2209
6,"China",53,2809
5,"China",25,625
6,"China",46,2116
0,"China",35,1225
7,"China",28,784
4,"China",45,2025
6,"China",44,1936
2,"China",48,2304
4,"China",53,2809
1,"China",58,3364
7,"China",22,484
6,"China",58,3364
3,"China",46,2116
7,"China",29,841
6,"China",58,3364
4,"China",49,2401
5,"China",37,1369
4,"China",59,3481
7,"China",56,3136
4,"China",50,2500
8,"China",57,3249
5,"China",46,2116
5,"China",54,2916
6,"China",41,1681
5,"China",27,729
0,"China",27,729
6,"China",50,2500
5,"China",47,2209
9,"China",60,3600
4,"China",46,2116
5,"China",55,3025
5,"China",48,2304
5,"China",30,900
5,"China",45,2025
0,"China",48,2304
5,"China",48,2304
7,"China",57,3249
4,"China",59,3481
6,"China",52,2704
7,"China",37,1369
6,"China",37,1369
5,"China",21,441
5,"China",23,529
5,"China",40,1600
5,"China",39,1521
5,"China",58,3364
5,"China",33,1089
5,"China",49,2401
3,"China",56,3136
2,"China",48,2304
6,"China",40,1600
2,"China",47,2209
8,"China",26,676
6,"China",46,2116
5,"China",32,1024
7,"China",32,1024
3,"China",47,2209
2,"China",58,3364
1,"China",43,1849
3,"China",44,1936
5,"China",51,2601
5,"China",38,1444
5,"China",30,900
1,"China",32,1024
5,"China",56,3136
3,"China",38,1444
3,"China",30,900
5,"China",56,3136
4,"China",32,1024
4,"China",46,2116
6,"China",22,484
5,"China",48,2304
5,"China",44,1936
5,"China",28,784
8,"China",42,1764
5,"China",49,2401
3,"China",39,1521
6,"China",24,576
4,"China",52,2704
5,"China",48,2304
0,"China",41,1681
5,"China",24,576
